OBJECTID,NAME,COUNTY,OSP,TWNCODE,LAND,SHAPE_Length,SHAPE_Area
27,BARRINGTON,BRISTOL,1,BA,Y,0.234919887225695,0.000660731854881122
28,BARRINGTON,BRISTOL,1,BA,Y,0.0149683928572958,8.84379338835192e-06
29,BARRINGTON,BRISTOL,1,BA,Y,0.311149044401869,0.00170728987173429
30,WARWICK,KENT,35,WK,Y,0.934411526377457,0.00927339995823368
31,BARRINGTON,BRISTOL,1,BA,Y,0.00058168030722513,2.27428575615589e-08
32,BARRINGTON,BRISTOL,1,BA,Y,0.00365298715663421,4.87867631061182e-07
33,BARRINGTON,BRISTOL,1,BA,Y,0.00866080324588615,4.80673435046043e-06
34,WARREN,BRISTOL,34,WN,Y,0.410441489502165,0.00173547572898014
35,BARRINGTON,BRISTOL,1,BA,Y,0.00807513515008407,3.01570601337467e-06
36,WARWICK,KENT,35,WK,Y,0.0181637392227944,1.24040193622632e-06
37,BARRINGTON,BRISTOL,1,BA,Y,0.00596954424089433,1.26669101038299e-06
38,WARWICK,KENT,35,WK,Y,0.00260190784568355,2.8065369696878e-07
39,WARWICK,KENT,35,WK,Y,0.00106203404153252,6.2243124158344e-08
40,WARWICK,KENT,35,WK,Y,0.000803692683801885,3.11600178506362e-08
41,BARRINGTON,BRISTOL,1,BA,Y,0.000987753977284422,6.98573358186473e-08
42,BARRINGTON,BRISTOL,1,BA,Y,0.00109927797670387,7.72689264508134e-08
43,WARREN,BRISTOL,34,WN,Y,0.00377093058680513,9.66637961686656e-07
44,WEST WARWICK,KENT,38,WW,Y,0.258762320983138,0.00226783770743305
45,COVENTRY,KENT,6,CO,Y,0.646245318499303,0.0174952669901343
46,BRISTOL,BRISTOL,2,BR,Y,0.392848152092948,0.00275360953043065
47,WARREN,BRISTOL,34,WN,Y,0.000331347533465593,6.76582287361682e-09
48,WARWICK,KENT,35,WK,Y,0.000692098265521018,2.53752342673907e-08
49,WARWICK,KENT,35,WK,Y,0.00056727586173452,1.89637361187726e-08
50,BRISTOL,BRISTOL,2,BR,Y,0.00603500669621216,9.90255304014273e-07
51,WARWICK,KENT,35,WK,Y,0.000823968351304868,3.6256203699168e-08
52,WARWICK,KENT,35,WK,Y,0.000382470306758686,1.05393276675521e-08
53,BRISTOL,BRISTOL,2,BR,Y,0.00499921582821726,7.35114553770246e-07
54,TIVERTON,NEWPORT,33,TI,Y,0.750692837110202,0.00836420910423038
55,WARWICK,KENT,35,WK,Y,0.215664934186711,0.000736422658608279
56,PORTSMOUTH,NEWPORT,27,PO,Y,0.379378590860526,0.00152401222815305
57,EAST GREENWICH,KENT,9,EP,Y,0.327055083525138,0.00456273074494614
58,WEST GREENWICH,KENT,37,WG,Y,0.60359775991513,0.0143329356468608
59,PORTSMOUTH,NEWPORT,27,PO,Y,0.0407009667680466,8.89720759123525e-05
60,PORTSMOUTH,NEWPORT,27,PO,Y,0.590552839316302,0.00477554725635041
61,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,1.02449493132268,0.0123023175648985
62,PORTSMOUTH,NEWPORT,27,PO,Y,0.0507014434694118,7.36252949041787e-05
63,PORTSMOUTH,NEWPORT,27,PO,Y,0.00699035036113736,2.53742236677127e-06
64,PORTSMOUTH,NEWPORT,27,PO,Y,0.00232115093222927,2.96179448119999e-07
65,PORTSMOUTH,NEWPORT,27,PO,Y,0.00333711628898153,3.2348292131306e-07
66,PORTSMOUTH,NEWPORT,27,PO,Y,0.000557315346180209,2.06995498338532e-08
67,PORTSMOUTH,NEWPORT,27,PO,Y,0.0096890281100745,2.54469091583071e-06
68,PORTSMOUTH,NEWPORT,27,PO,Y,0.00502727117139341,3.63248366279633e-07
69,PORTSMOUTH,NEWPORT,27,PO,Y,0.00284156329058062,1.30948249835519e-07
70,PORTSMOUTH,NEWPORT,27,PO,Y,0.000693026155903172,3.04207189103463e-08
71,PORTSMOUTH,NEWPORT,27,PO,Y,0.00959498946210677,1.00209192871063e-06
72,PORTSMOUTH,NEWPORT,27,PO,Y,0.000304728081584611,6.27522968860854e-09
73,PORTSMOUTH,NEWPORT,27,PO,Y,0.00190703266889701,5.44690878265156e-08
74,PORTSMOUTH,NEWPORT,27,PO,Y,0.000919030179130884,3.12832998624778e-08
75,PORTSMOUTH,NEWPORT,27,PO,Y,0.00306935906758072,2.52975607378952e-07
76,PORTSMOUTH,NEWPORT,27,PO,Y,0.00310798510975954,2.22624396883999e-07
77,PORTSMOUTH,NEWPORT,27,PO,Y,0.00385699483148322,8.04982367435358e-07
78,PORTSMOUTH,NEWPORT,27,PO,Y,0.00494849208582322,6.04255298326654e-07
79,PORTSMOUTH,NEWPORT,27,PO,Y,0.00621600608241168,2.32043310723422e-06
80,PORTSMOUTH,NEWPORT,27,PO,Y,0.0340306071545191,3.13651638099976e-05
81,EXETER,WASHINGTON,11,EX,Y,0.743982554793659,0.0163233582890697
82,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,0.000327973092789022,7.74162336458223e-09
83,PORTSMOUTH,NEWPORT,27,PO,Y,0.0164482547522089,1.14633400826135e-05
84,TIVERTON,NEWPORT,33,TI,Y,0.0046976714320769,1.02595524087857e-06
85,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,0.00893577329573093,3.6644104202738e-06
